"Record ID","Company name","signupTimestamp","Create Date","Number of Associated Contacts"
"47409769563","company","2025-12-17 22:04","2025-12-17 22:04","0.0"
"47342629669","company","2025-12-17 22:03","2025-12-17 22:04","0.0"
"47333305747","company","2025-12-17 22:02","2025-12-17 22:03","0.0"
"47336361572","company","2025-12-17 22:01","2025-12-17 22:02","0.0"
"47409769347","company","2025-12-17 21:57","2025-12-17 21:58","0.0"
"47397747582","company","2025-12-17 21:55","2025-12-17 21:55","0.0"
"47337916934","company","2025-12-17 21:41","2025-12-17 21:42","0.0"
"47332219674","","","2025-12-17 21:26","0.0"
"47340618075","company","2025-12-17 20:57","2025-12-17 20:57","0.0"
"47357744967","company","2025-12-17 20:35","2025-12-17 20:36","0.0"
"47409918017","","","2025-12-17 20:18","0.0"
"47344328104","company","2025-12-17 20:17","2025-12-17 20:18","0.0"
"47348459056","company","2025-12-17 20:17","2025-12-17 20:17","0.0"
"47386135103","company","2025-12-17 20:16","2025-12-17 20:16","0.0"
"47338064563","","","2025-12-17 19:54","0.0"
"47355420444","","","2025-12-17 19:46","0.0"
"47349385078","","","2025-12-17 19:21","0.0"
"47356189278","company","2025-12-17 18:41","2025-12-17 18:41","0.0"
"47349382837","company","2025-12-17 18:40","2025-12-17 18:41","0.0"
"47352779916","company","2025-12-17 18:06","2025-12-17 18:06","0.0"
"47345509152","","","2025-12-17 18:01","0.0"
"47347056201","company","2025-12-17 17:48","2025-12-17 17:49","0.0"
"47409602360","","","2025-12-17 16:59","0.0"
"47343544981","","","2025-12-17 15:46","0.0"
"47334836247","JD's Cleaning Services ","2025-12-17 15:37","2025-12-17 15:42","0.0"
"47333289505","company","2025-12-17 15:36","2025-12-17 15:40","0.0"
"47348446775","company","2025-12-17 15:35","2025-12-17 15:38","0.0"
"47389831704","","","2025-12-17 13:39","0.0"
"47354014258","company","2025-12-17 13:32","2025-12-17 13:33","0.0"
"47347822905","","","2025-12-17 12:26","0.0"
"47331589173","","","2025-12-17 11:48","0.0"
"47346891020","","","2025-12-17 10:57","0.0"
"47339287593","","","2025-12-17 10:10","0.0"
"47343688785","","","2025-12-17 06:08","0.0"
"47338656379","company","2025-12-17 03:06","2025-12-17 03:08","0.0"
"47355390523","company","2025-12-17 00:55","2025-12-17 00:55","0.0"
"47346723900","company","2025-12-17 00:46","2025-12-17 00:46","0.0"
"47340736815","","","2025-12-16 23:59","0.0"
"47389815224","","","2025-12-16 23:56","0.0"
"47355543636","","","2025-12-16 23:51","0.0"
"47335246214","","","2025-12-16 23:24","0.0"
"47340883588","","","2025-12-16 22:05","0.0"
"47333575000","","","2025-12-16 21:54","0.0"
"47370341721","The lyst","2025-12-16 21:37","2025-12-16 21:38","0.0"
"47335861352","company","2025-12-16 21:34","2025-12-16 21:35","0.0"
"47333573642","","","2025-12-16 21:19","0.0"
"47400527371","","","2025-12-16 21:13","0.0"
"47343980897","company","2025-12-16 20:01","2025-12-16 20:15","0.0"
"47390576471","Purdue University","2025-12-16 19:57","2025-12-16 20:15","0.0"
"47338641827","Serefina","2025-12-16 19:24","2025-12-16 20:13","0.0"
"47342277218","company","2025-12-16 19:19","2025-12-16 20:12","0.0"
"47335393129","Tacos Trafi Catering","2025-12-16 19:05","2025-12-16 20:12","0.0"
"47347178412","Tacos Traficantes Taco Truck Catering","2025-12-16 19:01","2025-12-16 20:12","0.0"
"47345786438","","","2025-12-16 20:11","0.0"
"47338335598","","","2025-12-16 20:11","0.0"
"47338335596","264786","2025-12-16 18:50","2025-12-16 20:11","0.0"
"47331562887","company","2025-12-16 18:48","2025-12-16 20:11","0.0"
"47391040109","Nisa Local","2025-12-16 18:38","2025-12-16 20:11","0.0"
"47400370476","","","2025-12-16 20:11","0.0"
"47342119587","","","2025-12-16 20:11","0.0"
"47333727124","","","2025-12-16 20:11","0.0"
"47329705061","","","2025-12-16 20:11","0.0"
"47347486808","Brothers Build","2025-12-16 18:17","2025-12-16 20:10","0.0"
"47344286618","Posejdon Marine Ltd.","2025-12-16 18:15","2025-12-16 20:10","0.0"
"47392342305","Polaris Learning Center","2025-12-16 18:13","2025-12-16 20:10","0.0"
"47392187682","Sky Health Wellness Clinic","2025-12-16 18:10","2025-12-16 20:10","0.0"
"47342584873","company","2025-12-16 18:10","2025-12-16 20:10","0.0"
"47355068559","Cadfans of Tywyn","2025-12-16 17:52","2025-12-16 19:51","0.0"
"47392341556","company","2025-12-16 17:50","2025-12-16 19:48","0.0"
"47358320287","FAMM 3000","2025-12-16 17:23","2025-12-16 19:17","0.0"
"47354443701","","","2025-12-16 19:09","0.0"
"47337405240","","","2025-12-16 19:07","0.0"
"47396627013","company","2025-12-16 16:46","2025-12-16 18:39","0.0"
"47330629155","company","2025-12-16 16:45","2025-12-16 18:38","0.0"
"47357540518","","","2025-12-16 18:29","0.0"
"47340257655","","","2025-12-16 18:20","0.0"
"47386089594","company","2025-12-16 15:48","2025-12-16 17:21","0.0"
"47336776451","","","2025-12-16 16:34","0.0"
"47387013889","","","2025-12-16 16:26","0.0"
"47343506709","","","2025-12-16 16:14","0.0"
"47329695301","","","2025-12-16 16:08","0.0"
"47348252981","","","2025-12-16 15:31","0.0"
"47332630167","company","2025-12-16 14:32","2025-12-16 15:24","0.0"
"47353975564","","","2025-12-16 14:46","0.0"
"47331550232","","","2025-12-16 14:39","0.0"
"47333404255","","","2025-12-16 14:38","0.0"
"47333092160","","","2025-12-16 14:26","0.0"
"47357995846","","","2025-12-16 14:17","0.0"
"47343965803","company","2025-12-16 12:10","2025-12-16 12:42","0.0"
"47332160899","SAMSIC FACILITY RENNES 1","2025-12-16 11:44","2025-12-16 12:42","0.0"
"47381968147","","","2025-12-16 12:42","0.0"
"47335377757","Deloitte","2025-12-16 09:59","2025-12-16 12:25","0.0"
"47340092227","","","2025-12-16 12:23","0.0"
"47352422458","","","2025-12-16 12:12","0.0"
"47345769589","","","2025-12-16 12:07","0.0"
"47341172253","","","2025-12-16 12:00","0.0"
"47347005243","","","2025-12-16 11:57","0.0"
"47353039284","","","2025-12-16 11:55","0.0"
"47353660063","","","2025-12-16 11:50","0.0"
"47337543517","","","2025-12-16 11:44","0.0"
"47346230827","company","2025-12-16 09:24","2025-12-16 11:35","0.0"
"47344735539","","","2025-12-16 11:18","0.0"
"47346075436","","","2025-12-16 11:17","0.0"
"47355825203","Alex Andersen ","2025-12-16 09:11","2025-12-16 11:16","0.0"
"47339554629","","","2025-12-16 11:11","0.0"
"47347469824","","","2025-12-16 11:06","0.0"
"47347315465","","","2025-12-16 11:02","0.0"
"47341330599","","","2025-12-16 10:56","0.0"
"47346074773","","","2025-12-16 10:44","0.0"
"47354274667","","","2025-12-16 09:30","0.0"
"47338313348","","","2025-12-16 08:58","0.0"
"47340081055","","","2025-12-16 07:18","0.0"
"47354730296","","","2025-12-16 07:13","0.0"
"47331223449","company","2025-12-16 06:26","2025-12-16 07:08","0.0"
"47356899455","","","2025-12-16 06:49","0.0"
"47334779046","","","2025-12-16 06:45","0.0"
"47343484301","","","2025-12-16 06:23","0.0"
"47344722088","","","2025-12-16 06:16","0.0"
"47341316015","","","2025-12-16 06:15","0.0"
"47346371706","","","2025-12-16 06:06","0.0"
"47355191896","company","2025-12-16 05:39","2025-12-16 05:58","0.0"
"47330754483","","","2025-12-16 05:57","0.0"
"47331373479","company","2025-12-16 05:34","2025-12-16 05:51","0.0"
"47339537433","Test","2025-12-16 05:19","2025-12-16 05:27","0.0"
"47353793588","company","2025-12-16 05:16","2025-12-16 05:24","0.0"
"47356117393","company","2025-12-16 05:13","2025-12-16 05:19","0.0"
"47332915342","","","2025-12-16 05:02","0.0"
"47345591125","","","2025-12-16 04:50","0.0"
"47339846490","company","2025-12-16 04:25","2025-12-16 04:48","0.0"
"47332448152","company","2025-12-16 03:21","2025-12-16 04:48","0.0"
"47353948344","company","2025-12-16 02:58","2025-12-16 04:44","0.0"
"47356115281","company","2025-12-16 02:43","2025-12-16 04:44","0.0"
"47345901359","company","2025-12-16 02:25","2025-12-16 04:43","0.0"
"47340224340","company","2025-12-16 01:50","2025-12-16 04:42","0.0"
"47336282541","","","2025-12-16 04:42","0.0"
"47341151533","company","2025-12-16 01:27","2025-12-16 04:25","0.0"
"47328822548","","","2025-12-16 04:22","0.0"
"47358281308","","","2025-12-16 04:16","0.0"
"47348065811","","","2025-12-16 04:09","0.0"
"47336901151","","","2025-12-16 04:06","0.0"
"47332911229","","","2025-12-16 04:03","0.0"
"47339687029","","","2025-12-16 03:58","0.0"
"47331980199","","","2025-12-16 03:51","0.0"
"47343628575","Hills East Broadcast","2025-12-16 01:07","2025-12-16 03:50","0.0"
"47342233755","","","2025-12-16 03:26","0.0"
"47332753666","","","2025-12-16 03:24","0.0"
"47330278062","","","2025-12-16 03:19","0.0"
"47329039236","every kind cleaning","2025-12-16 00:39","2025-12-16 03:15","0.0"
"47346515823","","","2025-12-16 03:13","0.0"
"47338292048","company","2025-12-16 00:37","2025-12-16 03:11","0.0"
"47342696207","","","2025-12-16 03:10","0.0"
"47347754327","","","2025-12-16 03:03","0.0"
"47333061764","","","2025-12-16 02:59","0.0"
